NAME,BYTES
./collects/racket/contract/private/object.rkt.out.sexp,20566
./collects/racket/contract/private/opters.rkt.out.sexp,64312
./collects/racket/contract/private/opt-guts.rkt.out.sexp,18713
./collects/racket/contract/private/orc.rkt.out.sexp,36898
./collects/racket/contract/private/out.rkt.out.sexp,9837
./collects/racket/contract/private/parametric.rkt.out.sexp,8948
./collects/racket/contract/private/provide.rkt.out.sexp,79016
./collects/racket/contract/private/rand.rkt.out.sexp,4539
./collects/racket/contract/private/struct-dc.rkt.out.sexp,104528
./collects/racket/contract/private/struct-prop.rkt.out.sexp,2041
./collects/racket/contract/private/top-sort.rkt.out.sexp,4513
./collects/racket/contract/private/types.rkt.out.sexp,108
./collects/racket/contract/private/unconstrained-domain-arrow.rkt.out.sexp,5886
./collects/racket/contract/private/vector.rkt.out.sexp,39227
./collects/racket/contract/region.rkt.out.sexp,128740
./collects/racket/contract.rkt.out.sexp,65
./collects/racket/control.rkt.out.sexp,20358
./collects/racket/date.rkt.out.sexp,31461
./collects/racket/dict.rkt.out.sexp,69085
./collects/racket/engine.rkt.out.sexp,7629
./collects/racket/enter.rkt.out.sexp,6101
./collects/racket/exn.rkt.out.sexp,270
./collects/racket/extflonum.rkt.out.sexp,11307
./collects/racket/fasl.rkt.out.sexp,1136
./collects/racket/file.rkt.out.sexp,57349
./collects/racket/fixnum.rkt.out.sexp,11285
./collects/racket/flonum.rkt.out.sexp,11397
./collects/racket/format.rkt.out.sexp,91424
./collects/racket/function.rkt.out.sexp,42029
./collects/racket/future.rkt.out.sexp,1594
./collects/racket/generator.rkt.out.sexp,9192
./collects/racket/generic.rkt.out.sexp,45469
./collects/racket/gui/dynamic.rkt.out.sexp,852
./collects/racket/hash.rkt.out.sexp,15998
./collects/racket/help.rkt.out.sexp,5238
./collects/racket/include.rkt.out.sexp,7178
./collects/racket/info.rkt.out.sexp,523
./collects/racket/init.rkt.out.sexp,184
./collects/racket/kernel/init.rkt.out.sexp,11
./collects/racket/kernel.rkt.out.sexp,2391
./collects/racket/keyword-transform.rkt.out.sexp,44
./collects/racket/lang/reader.rkt.out.sexp,11
./collects/racket/language-info.rkt.out.sexp,174
./collects/racket/lazy-require.rkt.out.sexp,7048
./collects/racket/list.rkt.out.sexp,45954
./collects/racket/load/lang/reader.rkt.out.sexp,2379
./collects/racket/load.rkt.out.sexp,1767
./collects/racket/local.rkt.out.sexp,1117
./collects/racket/logging.rkt.out.sexp,5775
./collects/racket/main.rkt.out.sexp,2514
./collects/racket/match/compiler.rkt.out.sexp,61188
./collects/racket/match/define-forms.rkt.out.sexp,3595
./collects/racket/match/gen-match.rkt.out.sexp,20836
./collects/racket/match/legacy-match.rkt.out.sexp,91001
./collects/racket/match/match-expander.rkt.out.sexp,7513
./collects/racket/match/match.rkt.out.sexp,91640
./collects/racket/match/parse-helper.rkt.out.sexp,13192
./collects/racket/match/parse-legacy.rkt.out.sexp,10788
./collects/racket/match/parse-quasi.rkt.out.sexp,5957
./collects/racket/match/parse.rkt.out.sexp,33873
./collects/racket/match/patterns.rkt.out.sexp,19754
./collects/racket/match/reorder.rkt.out.sexp,5431
./collects/racket/match.rkt.out.sexp,2134
./collects/racket/match/runtime.rkt.out.sexp,2096
./collects/racket/match/split-rows.rkt.out.sexp,3509
./collects/racket/match/struct.rkt.out.sexp,4771
./collects/racket/match/stxtime.rkt.out.sexp,1597
./collects/racket/match/syntax-local-match-introduce.rkt.out.sexp,242
./collects/racket/math.rkt.out.sexp,5572
./collects/racket/os.rkt.out.sexp,3195
./collects/racket/path.rkt.out.sexp,9418
./collects/racket/performance-hint.rkt.out.sexp,28358
./collects/racket/place/private/async-bi-channel.rkt.out.sexp,1198
./collects/racket/place/private/coercion.rkt.out.sexp,1751
./collects/racket/place/private/prop.rkt.out.sexp,93
./collects/racket/place/private/th-place.rkt.out.sexp,9464
./collects/racket/place.rkt.out.sexp,27814
./collects/racket/port.rkt.out.sexp,80558
./collects/racket/pretty.rkt.out.sexp,57963
./collects/racket/private/arity.rkt.out.sexp,4883
./collects/racket/private/base.rkt.out.sexp,44
./collects/racket/private/case.rkt.out.sexp,35571
./collects/racket/private/cert.rkt.out.sexp,256
./collects/racket/private/class-c-new.rkt.out.sexp,41898
./collects/racket/private/class-c-old.rkt.out.sexp,111693
./collects/racket/private/classidmap.rkt.out.sexp,33563
./collects/racket/private/class-undef.rkt.out.sexp,20115
./collects/racket/private/class-wrapped.rkt.out.sexp,2312
./collects/racket/private/collect.rkt.out.sexp,12102
./collects/racket/private/cond.rkt.out.sexp,2124
./collects/racket/private/config.rkt.out.sexp,564
./collects/racket/private/custom-hash.rkt.out.sexp,31813
./collects/racket/private/define-et-al.rkt.out.sexp,4989
./collects/racket/private/define.rkt.out.sexp,2334
./collects/racket/private/define-struct.rkt.out.sexp,55962
./collects/racket/private/dict.rkt.out.sexp,61724
./collects/racket/private/ellipses.rkt.out.sexp,149
./collects/racket/private/executable-path.rkt.out.sexp,1740
./collects/racket/private/for.rkt.out.sexp,157216
./collects/racket/private/generic-interfaces.rkt.out.sexp,1916
./collects/racket/private/generic-methods.rkt.out.sexp,8737
./collects/racket/private/generic.rkt.out.sexp,61575
./collects/racket/private/hash.rkt.out.sexp,2064
./collects/racket/private/increader.rkt.out.sexp,538
./collects/racket/private/kernstruct.rkt.out.sexp,6051
./collects/racket/private/kw-file.rkt.out.sexp,15659
./collects/racket/private/kw-prop-key.rkt.out.sexp,79
./collects/racket/private/kw.rkt.out.sexp,106593
./collects/racket/private/letstx-scheme.rkt.out.sexp,4303
./collects/racket/private/list.rkt.out.sexp,19205
./collects/racket/private/load.rkt.out.sexp,837
./collects/racket/private/local.rkt.out.sexp,9411
./collects/racket/private/logger.rkt.out.sexp,5543
