NAME,PACKEDSIZE
./cleaned_racket/collects/racket/contract/private/provide.rkt.out.sexp,291518
./cleaned_racket/collects/racket/contract/private/rand.rkt.out.sexp,16872
./cleaned_racket/collects/racket/contract/private/struct-dc.rkt.out.sexp,383776
./cleaned_racket/collects/racket/contract/private/struct-prop.rkt.out.sexp,8180
./cleaned_racket/collects/racket/contract/private/top-sort.rkt.out.sexp,17078
./cleaned_racket/collects/racket/contract/private/types.rkt.out.sexp,506
./cleaned_racket/collects/racket/contract/private/unconstrained-domain-arrow.rkt.out.sexp,22018
./cleaned_racket/collects/racket/contract/private/vector.rkt.out.sexp,143284
./cleaned_racket/collects/racket/contract/region.rkt.out.sexp,464777
./cleaned_racket/collects/racket/contract.rkt.out.sexp,597
./cleaned_racket/collects/racket/control.rkt.out.sexp,70715
./cleaned_racket/collects/racket/date.rkt.out.sexp,116416
./cleaned_racket/collects/racket/dict.rkt.out.sexp,244783
./cleaned_racket/collects/racket/engine.rkt.out.sexp,28041
./cleaned_racket/collects/racket/enter.rkt.out.sexp,22086
./cleaned_racket/collects/racket/exn.rkt.out.sexp,1220
./cleaned_racket/collects/racket/extflonum.rkt.out.sexp,40183
./cleaned_racket/collects/racket/fasl.rkt.out.sexp,4386
./cleaned_racket/collects/racket/file.rkt.out.sexp,204193
./cleaned_racket/collects/racket/fixnum.rkt.out.sexp,40031
./cleaned_racket/collects/racket/flonum.rkt.out.sexp,40416
./cleaned_racket/collects/racket/format.rkt.out.sexp,309482
./cleaned_racket/collects/racket/function.rkt.out.sexp,146849
./cleaned_racket/collects/racket/future.rkt.out.sexp,6007
./cleaned_racket/collects/racket/generator.rkt.out.sexp,33508
./cleaned_racket/collects/racket/generic.rkt.out.sexp,163674
./cleaned_racket/collects/racket/gui/dynamic.rkt.out.sexp,3498
./cleaned_racket/collects/racket/hash.rkt.out.sexp,55787
./cleaned_racket/collects/racket/help.rkt.out.sexp,18975
./cleaned_racket/collects/racket/include.rkt.out.sexp,25899
./cleaned_racket/collects/racket/info.rkt.out.sexp,2014
./cleaned_racket/collects/racket/init.rkt.out.sexp,959
./cleaned_racket/collects/racket/kernel/init.rkt.out.sexp,135
./cleaned_racket/collects/racket/kernel.rkt.out.sexp,8201
./cleaned_racket/collects/racket/keyword-transform.rkt.out.sexp,338
./cleaned_racket/collects/racket/lang/reader.rkt.out.sexp,135
./cleaned_racket/collects/racket/language-info.rkt.out.sexp,815
./cleaned_racket/collects/racket/lazy-require.rkt.out.sexp,26051
./cleaned_racket/collects/racket/list.rkt.out.sexp,154768
./cleaned_racket/collects/racket/load/lang/reader.rkt.out.sexp,8053
./cleaned_racket/collects/racket/load.rkt.out.sexp,7048
./cleaned_racket/collects/racket/local.rkt.out.sexp,4403
./cleaned_racket/collects/racket/logging.rkt.out.sexp,21448
./cleaned_racket/collects/racket/main.rkt.out.sexp,9514
./cleaned_racket/collects/racket/match/compiler.rkt.out.sexp,222137
./cleaned_racket/collects/racket/match/define-forms.rkt.out.sexp,13644
./cleaned_racket/collects/racket/match/gen-match.rkt.out.sexp,76742
./cleaned_racket/collects/racket/match/legacy-match.rkt.out.sexp,323344
./cleaned_racket/collects/racket/match/match-expander.rkt.out.sexp,26884
./cleaned_racket/collects/racket/match/match.rkt.out.sexp,326287
./cleaned_racket/collects/racket/match/parse-helper.rkt.out.sexp,46102
./cleaned_racket/collects/racket/match/parse-legacy.rkt.out.sexp,36681
./cleaned_racket/collects/racket/match/parse-quasi.rkt.out.sexp,21714
./cleaned_racket/collects/racket/match/parse.rkt.out.sexp,115407
./cleaned_racket/collects/racket/match/patterns.rkt.out.sexp,70904
./cleaned_racket/collects/racket/match/reorder.rkt.out.sexp,19286
./cleaned_racket/collects/racket/match.rkt.out.sexp,7552
./cleaned_racket/collects/racket/match/runtime.rkt.out.sexp,7888
./cleaned_racket/collects/racket/match/split-rows.rkt.out.sexp,12285
./cleaned_racket/collects/racket/match/struct.rkt.out.sexp,17176
./cleaned_racket/collects/racket/match/stxtime.rkt.out.sexp,5883
./cleaned_racket/collects/racket/match/syntax-local-match-introduce.rkt.out.sexp,1079
./cleaned_racket/collects/racket/math.rkt.out.sexp,20920
./cleaned_racket/collects/racket/os.rkt.out.sexp,11689
./cleaned_racket/collects/racket/path.rkt.out.sexp,33596
./cleaned_racket/collects/racket/performance-hint.rkt.out.sexp,105754
./cleaned_racket/collects/racket/place/private/async-bi-channel.rkt.out.sexp,4783
./cleaned_racket/collects/racket/place/private/coercion.rkt.out.sexp,6598
./cleaned_racket/collects/racket/place/private/prop.rkt.out.sexp,485
./cleaned_racket/collects/racket/place/private/th-place.rkt.out.sexp,34252
./cleaned_racket/collects/racket/place.rkt.out.sexp,99185
./cleaned_racket/collects/racket/port.rkt.out.sexp,281550
./cleaned_racket/collects/racket/pretty.rkt.out.sexp,190583
./cleaned_racket/collects/racket/private/arity.rkt.out.sexp,17797
./cleaned_racket/collects/racket/private/base.rkt.out.sexp,338
./cleaned_racket/collects/racket/private/case.rkt.out.sexp,130234
./cleaned_racket/collects/racket/private/cert.rkt.out.sexp,1068
./cleaned_racket/collects/racket/private/class-c-new.rkt.out.sexp,157575
./cleaned_racket/collects/racket/private/class-c-old.rkt.out.sexp,405404
./cleaned_racket/collects/racket/private/classidmap.rkt.out.sexp,122184
./cleaned_racket/collects/racket/private/class-undef.rkt.out.sexp,70462
./cleaned_racket/collects/racket/private/class-wrapped.rkt.out.sexp,8610
./cleaned_racket/collects/racket/private/collect.rkt.out.sexp,42918
./cleaned_racket/collects/racket/private/cond.rkt.out.sexp,7030
./cleaned_racket/collects/racket/private/config.rkt.out.sexp,2493
./cleaned_racket/collects/racket/private/custom-hash.rkt.out.sexp,114365
./cleaned_racket/collects/racket/private/define-et-al.rkt.out.sexp,17038
./cleaned_racket/collects/racket/private/define.rkt.out.sexp,8493
./cleaned_racket/collects/racket/private/define-struct.rkt.out.sexp,203473
./cleaned_racket/collects/racket/private/dict.rkt.out.sexp,222441
./cleaned_racket/collects/racket/private/ellipses.rkt.out.sexp,660
./cleaned_racket/collects/racket/private/executable-path.rkt.out.sexp,6234
./cleaned_racket/collects/racket/private/for.rkt.out.sexp,562841
./cleaned_racket/collects/racket/private/generic-interfaces.rkt.out.sexp,6434
./cleaned_racket/collects/racket/private/generic-methods.rkt.out.sexp,32091
./cleaned_racket/collects/racket/private/generic.rkt.out.sexp,223456
./cleaned_racket/collects/racket/private/hash.rkt.out.sexp,7492
./cleaned_racket/collects/racket/private/increader.rkt.out.sexp,2103
./cleaned_racket/collects/racket/private/kernstruct.rkt.out.sexp,25115
./cleaned_racket/collects/racket/private/kw-file.rkt.out.sexp,54480
./cleaned_racket/collects/racket/private/kw-prop-key.rkt.out.sexp,400
./cleaned_racket/collects/racket/private/kw.rkt.out.sexp,378644
./cleaned_racket/collects/racket/private/letstx-scheme.rkt.out.sexp,15284
./cleaned_racket/collects/racket/private/list.rkt.out.sexp,63659
./cleaned_racket/collects/racket/private/load.rkt.out.sexp,3311
./cleaned_racket/collects/racket/private/local.rkt.out.sexp,33679
./cleaned_racket/collects/racket/private/logger.rkt.out.sexp,20218
./cleaned_racket/collects/racket/private/map.rkt.out.sexp,12919
./cleaned_racket/collects/racket/private/member.rkt.out.sexp,5823
./cleaned_racket/collects/racket/private/misc.rkt.out.sexp,29587
./cleaned_racket/collects/racket/private/modbeg.rkt.out.sexp,1285
./cleaned_racket/collects/racket/private/more-scheme.rkt.out.sexp,91359
./cleaned_racket/collects/racket/private/name.rkt.out.sexp,4083
./cleaned_racket/collects/racket/private/namespace.rkt.out.sexp,7703
./cleaned_racket/collects/racket/private/norm-arity.rkt.out.sexp,6920
./cleaned_racket/collects/racket/private/norm-define.rkt.out.sexp,45938
./cleaned_racket/collects/racket/private/old-path.rkt.out.sexp,6391
./cleaned_racket/collects/racket/private/path-list.rkt.out.sexp,3282
./cleaned_racket/collects/racket/private/path.rkt.out.sexp,15219
./cleaned_racket/collects/racket/private/performance-hint.rkt.out.sexp,1049
./cleaned_racket/collects/racket/private/portlines.rkt.out.sexp,3705
./cleaned_racket/collects/racket/private/port.rkt.out.sexp,23622
./cleaned_racket/collects/racket/private/pre-base.rkt.out.sexp,21344
./cleaned_racket/collects/racket/private/procedure-alias.rkt.out.sexp,652
./cleaned_racket/collects/racket/private/qq-and-or.rkt.out.sexp,35446
./cleaned_racket/collects/racket/private/qqstx.rkt.out.sexp,36524
./cleaned_racket/collects/racket/private/reading-param.rkt.out.sexp,2143
./cleaned_racket/collects/racket/private/reqprov.rkt.out.sexp,198481
./cleaned_racket/collects/racket/private/reverse.rkt.out.sexp,1141
./cleaned_racket/collects/racket/private/runtime-path-table.rkt.out.sexp,568
./cleaned_racket/collects/racket/private/sc.rkt.out.sexp,100743
./cleaned_racket/collects/racket/private/sequence.rkt.out.sexp,13732
./cleaned_racket/collects/racket/private/serialize.rkt.out.sexp,97001
./cleaned_racket/collects/racket/private/serialize-structs.rkt.out.sexp,5258
./cleaned_racket/collects/racket/private/set.rkt.out.sexp,224638
./cleaned_racket/collects/racket/private/shared-body.rkt.out.sexp,128252
./cleaned_racket/collects/racket/private/small-scheme.rkt.out.sexp,135
./cleaned_racket/collects/racket/private/sort.rkt.out.sexp,168120
./cleaned_racket/collects/racket/private/so-search.rkt.out.sexp,5817
./cleaned_racket/collects/racket/private/stream-cons.rkt.out.sexp,18702
./cleaned_racket/collects/racket/private/streams.rkt.out.sexp,7955
./cleaned_racket/collects/racket/private/string.rkt.out.sexp,211647
./cleaned_racket/collects/racket/private/struct-info.rkt.out.sexp,10769
./cleaned_racket/collects/racket/private/struct.rkt.out.sexp,12178
./cleaned_racket/collects/racket/private/stxcase.rkt.out.sexp,53708
./cleaned_racket/collects/racket/private/stxcase-scheme.rkt.out.sexp,10461
./cleaned_racket/collects/racket/private/stxloc.rkt.out.sexp,14302
./cleaned_racket/collects/racket/private/stxparamkey.rkt.out.sexp,21322
./cleaned_racket/collects/racket/private/stxparam.rkt.out.sexp,11230
./cleaned_racket/collects/racket/private/stx.rkt.out.sexp,9763
./cleaned_racket/collects/racket/private/submodule.rkt.out.sexp,8398
./cleaned_racket/collects/racket/private/tethered-installer.rkt.out.sexp,6393
./cleaned_racket/collects/racket/private/this-expression-source-directory.rkt.out.sexp,17324
./cleaned_racket/collects/racket/private/top-int.rkt.out.sexp,1001
./cleaned_racket/collects/racket/private/unit-compiletime.rkt.out.sexp,105513
./cleaned_racket/collects/racket/private/unit-contract.rkt.out.sexp,119123
./cleaned_racket/collects/racket/private/unit-contract-syntax.rkt.out.sexp,226157
./cleaned_racket/collects/racket/private/unit-keywords.rkt.out.sexp,6632
./cleaned_racket/collects/racket/private/unit-runtime.rkt.out.sexp,13927
./cleaned_racket/collects/racket/private/unit-syntax.rkt.out.sexp,73993
./cleaned_racket/collects/racket/private/unit-utils.rkt.out.sexp,35277
./cleaned_racket/collects/racket/private/unix-rand.rkt.out.sexp,1606
./cleaned_racket/collects/racket/private/vector-wraps.rkt.out.sexp,6135
./cleaned_racket/collects/racket/private/windows-rand.rkt.out.sexp,47171
./cleaned_racket/collects/racket/private/with-stx.rkt.out.sexp,12183
./cleaned_racket/collects/racket/promise.rkt.out.sexp,34686
./cleaned_racket/collects/racket/provide.rkt.out.sexp,7155
./cleaned_racket/collects/racket/provide-syntax.rkt.out.sexp,7221
./cleaned_racket/collects/racket/provide-transform.rkt.out.sexp,20394
./cleaned_racket/collects/racket/random.rkt.out.sexp,46593
./cleaned_racket/collects/racket/require.rkt.out.sexp,30413
./cleaned_racket/collects/racket/require-syntax.rkt.out.sexp,7179
./cleaned_racket/collects/racket/require-transform.rkt.out.sexp,44422
./cleaned_racket/collects/racket/rerequire.rkt.out.sexp,19668
./cleaned_racket/collects/racket/runtime-config.rkt.out.sexp,295
./cleaned_racket/collects/racket/runtime-path.rkt.out.sexp,57397
./cleaned_racket/collects/racket/sequence.rkt.out.sexp,55135
./cleaned_racket/collects/racket/serialize.rkt.out.sexp,93609
./cleaned_racket/collects/racket/set.rkt.out.sexp,235094
./cleaned_racket/collects/racket/shared.rkt.out.sexp,854
./cleaned_racket/collects/racket/signature/lang/reader.rkt.out.sexp,8053
./cleaned_racket/collects/racket/signature/lang.rkt.out.sexp,7408
./cleaned_racket/collects/racket/splicing.rkt.out.sexp,163789
./cleaned_racket/collects/racket/stream.rkt.out.sexp,52621
./cleaned_racket/collects/racket/string.rkt.out.sexp,55099
./cleaned_racket/collects/racket/struct-info.rkt.out.sexp,135
./cleaned_racket/collects/racket/struct.rkt.out.sexp,9788
./cleaned_racket/collects/racket/stxparam-exptime.rkt.out.sexp,1856
./cleaned_racket/collects/racket/stxparam.rkt.out.sexp,8016
./cleaned_racket/collects/racket/surrogate.rkt.out.sexp,49756
./cleaned_racket/collects/racket/syntax.rkt.out.sexp,49591
./cleaned_racket/collects/racket/system.rkt.out.sexp,48356
./cleaned_racket/collects/racket/tcp.rkt.out.sexp,1947
./cleaned_racket/collects/racket/trace.rkt.out.sexp,72485
./cleaned_racket/collects/racket/trait.rkt.out.sexp,153785
./cleaned_racket/collects/racket/udp.rkt.out.sexp,775
./cleaned_racket/collects/racket/undefined.rkt.out.sexp,696
./cleaned_racket/collects/racket/unit-exptime.rkt.out.sexp,4427
./cleaned_racket/collects/racket/unit/lang/reader.rkt.out.sexp,8053
